DF,DL,MUNICIPIO,LOCALIDAD,SECCION,TIPO,CASILLA,UBICACION
1,3,2) MEXICALI,1) MEXICALI,370,B,370 B,"TAQUERÍA LA FIESTA, CALZADA JUSTO SIERRA, NÚMERO 211, COLONIA CUAUHTÉMOC NORTE, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ENTRE REPÚBLICA DE BRASIL Y REPÚBLICA DE COLOMBIA"
1,3,2) MEXICALI,1) MEXICALI,370,C1,370 C1,"TAQUERÍA LA FIESTA, CALZADA JUSTO SIERRA, NÚMERO 211, COLONIA CUAUHTÉMOC NORTE, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ENTRE REPÚBLICA DE BRASIL Y REPÚBLICA DE COLOMBIA"
1,3,2) MEXICALI,1) MEXICALI,371,B,371 B,"DOMICILIO PARTICULAR, AVENIDA REPÚBLICA DE BRASIL, NÚMERO 375, COLONIA CUAUHTÉMOC NORTE, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES CARACAS Y LIMA"
1,3,2) MEXICALI,1) MEXICALI,372,B,372 B,"DOMICILIO PARTICULAR, AVENIDA REPÚBLICA DE BOLIVIA, NÚMERO 576, COLONIA CUAUHTÉMOC NORTE, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE RÍO FUERTE Y CALLE MANAGUA"
1,3,2) MEXICALI,1) MEXICALI,372,C1,372 C1,"DOMICILIO PARTICULAR, AVENIDA REPÚBLICA DE BOLIVIA, NÚMERO 576, COLONIA CUAUHTÉMOC NORTE, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE RÍO FUERTE Y CALLE MANAGUA"
1,3,2) MEXICALI,1) MEXICALI,373,B,373 B,"ESCUELA PRIMARIA MANUEL S. HIDALGO, AVENIDA REPÚBLICA DE BRASIL, SIN NÚMERO, COLONIA CUAUHTÉMOC NORTE, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ESQUINA CON CALLE RÍO SINALOA"
1,3,2) MEXICALI,1) MEXICALI,373,C1,373 C1,"ESCUELA PRIMARIA MANUEL S. HIDALGO, AVENIDA REPÚBLICA DE BRASIL, SIN NÚMERO, COLONIA CUAUHTÉMOC NORTE, CÓDIGO POSTAL 21200, MEXICALI, BAJA CALIFORNIA, ESQUINA CON CALLE RÍO SINALOA"
1,3,2) MEXICALI,1) MEXICALI,374,B,374 B,"DOMICILIO PARTICULAR, AVENIDA REPÚBLICA DE COLOMBIA, NÚMERO 132, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES SALVADOR DÍAZ MIRÓN Y RÍO ELOTA"
1,3,2) MEXICALI,1) MEXICALI,374,C1,374 C1,"DOMICILIO PARTICULAR, AVENIDA REPÚBLICA DE COLOMBIA, NÚMERO 132, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES SALVADOR DÍAZ MIRÓN Y RÍO ELOTA"
1,2,2,1) MEXICALI,375,B,375 B,"LLANTERA LOS AMIGOS, AVENIDA REPÚBLICA DE BRASIL, NÚMERO 249, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES SALVADOR DÍAZ MIRÓN Y MANUEL ACUÑA"
1,2,2,1) MEXICALI,375,C1,375 C1,"LLANTERA LOS AMIGOS, AVENIDA REPÚBLICA DE BRASIL, NÚMERO 249, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE CALLES SALVADOR DÍAZ MIRÓN Y MANUEL ACUÑA"
1,2,2,1) MEXICALI,376,B,376 B,"JARDÍN DE NIÑOS CUAUHTÉMOC, AVENIDA REPÚBLICA DE ARGENTINA, SIN NÚMERO, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE MAR DE PLATA Y FRANCISCO ZARCO"
1,2,2,1) MEXICALI,376,C1,376 C1,"JARDÍN DE NIÑOS CUAUHTÉMOC, AVENIDA REPÚBLICA DE ARGENTINA, SIN NÚMERO, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE MAR DE PLATA Y FRANCISCO ZARCO"
1,2,2,1) MEXICALI,376,C2,376 C2,"JARDÍN DE NIÑOS CUAUHTÉMOC, AVENIDA REPÚBLICA DE ARGENTINA, SIN NÚMERO, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE MAR DE PLATA Y FRANCISCO ZARCO"
1,2,2,1) MEXICALI,377,B,377 B,"ESCUELA PRIMARIA HEROÍNAS DE LA PATRIA, AVENIDA REPÚBLICA DE BRASIL, SIN NÚMERO, COLONIA ALIANZA PARA LA PRODUCCIÓN, CÓDIGO POSTAL 21229, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE FILOMENO MATA Y CALLE JAVIER ROJO GÓMEZ"
1,2,2,1) MEXICALI,377,C1,377 C1,"ESCUELA PRIMARIA HEROÍNAS DE LA PATRIA, AVENIDA REPÚBLICA DE BRASIL, SIN NÚMERO, COLONIA ALIANZA PARA LA PRODUCCIÓN, CÓDIGO POSTAL 21229, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE FILOMENO MATA Y CALLE JAVIER ROJO GÓMEZ"
1,2,2,1) MEXICALI,377,C2,377 C2,"ESCUELA PRIMARIA HEROÍNAS DE LA PATRIA, AVENIDA REPÚBLICA DE BRASIL, SIN NÚMERO, COLONIA ALIANZA PARA LA PRODUCCIÓN, CÓDIGO POSTAL 21229, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE FILOMENO MATA Y CALLE JAVIER ROJO GÓMEZ"
1,2,2,1) MEXICALI,378,B,378 B,"JARDÍN DE NIÑOS FEDERICO GARCÍA LORCA, CALLE HÉROES DE TLATELOLCO, SIN NÚMERO, FRACCIONAMIENTO EL PORVENIR, CÓDIGO POSTAL 21220, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE EL PORVENIR Y CALLE ZODIACO"
