MUNICIPIO,DF,DL,SECCION,TIPO,GOB_2019,PM_2019,DL_2019,GOB_2021,PM_2021,DL_2021,PM_2024,DL_2024,ESTRAT_CEN,CLASIFICACION,PRIORIDAD,PERFIL,CLASE,LN_FEB_26,MORENA_PM_2024,DIF_PM24,META
ENSENADA,7,15,1,URBANO(A),307,233,181,229,315,348,0,806,NO,SWITCH,1,ADULTOS MAYORES,ALTA,2485,298,298,299
ENSENADA,7,15,2,URBANO(A),334,249,234,299,348,398,0,399,NO,LEAL,2,ADULTOS MAYORES,ALTA,1500,97,97,98
ENSENADA,7,15,3,URBANO(A),51,51,49,16,38,36,0,87,NO,OPOSITOR,3,DISCAPACITADOS,MEDIA,1978,383,383,384
ENSENADA,7,15,4,URBANO(A),83,76,67,37,48,49,0,69,NO,OPOSITOR,3,DISCAPACITADOS,MEDIA BAJA,1922,418,418,419
ENSENADA,7,15,5,URBANO(A),34,26,30,11,18,18,0,37,NO,SWITCH,1,ADULTOS MAYORES,MEDIA,513,94,94,95
ENSENADA,7,15,6,URBANO(A),63,65,60,39,35,41,0,90,NO,OPOSITOR,3,POBLACION INDIGENA,MEDIA,1662,332,332,333
ENSENADA,7,15,7,URBANO(A),29,25,23,2,10,13,0,33,NO,OPOSITOR,3,DISCAPACITADOS,MEDIA,711,241,241,242
ENSENADA,7,15,8,URBANO(A),133,132,122,37,59,64,0,120,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,1573,281,281,282
ENSENADA,7,15,9,URBANO(A),65,65,58,22,36,37,0,101,NO,OPOSITOR,3,DISCAPACITADOS,MEDIA ALTA,1156,179,179,180
ENSENADA,7,15,10,URBANO(A),82,74,71,24,50,54,0,146,NO,SWITCH,1,ADULTOS MAYORES,ALTA,1086,216,216,217
ENSENADA,7,15,11,URBANO(A),201,187,120,97,182,173,0,355,NO,SWITCH,1,DISCAPACITADOS,ALTA,2670,474,474,475
ENSENADA,7,16,12,URBANO(A),243,218,174,91,156,144,380,375,NO,SWITCH,1,MIXTO,MEDIA ALTA,5427,967,587,968
ENSENADA,3,16,15,URBANO(A),89,66,48,22,42,37,90,88,NO,OPOSITOR,3,MIXTO,MEDIA ALTA,1882,409,319,410
ENSENADA,3,16,16,URBANO(A),89,72,53,27,61,48,95,89,NO,OPOSITOR,3,DISCAPACITADOS,MEDIA ALTA,1729,360,265,361
ENSENADA,3,16,17,URBANO(A),131,122,84,57,94,96,186,172,NO,SWITCH,1,MIXTO,MEDIA ALTA,2702,547,361,548
ENSENADA,3,16,18,URBANO(A),208,184,137,100,136,159,325,285,NO,SWITCH,1,ADULTOS MAYORES,ALTA,1997,355,30,356
ENSENADA,3,15,19,URBANO(A),107,101,86,44,67,70,0,177,NO,SWITCH,1,ADULTOS MAYORES,ALTA,1346,239,239,240
ENSENADA,7,15,20,URBANO(A),158,138,128,103,133,148,0,282,NO,SWITCH,1,ADULTOS MAYORES,ALTA,1500,231,231,232
ENSENADA,7,15,21,URBANO(A),100,85,79,51,64,62,0,125,NO,SWITCH,1,ADULTOS MAYORES,ALTA,809,149,149,150
ENSENADA,7,15,22,URBANO(A),118,95,89,59,86,100,0,217,NO,SWITCH,1,ADULTOS MAYORES,ALTA,1012,196,196,197
ENSENADA,7,15,23,URBANO(A),269,224,159,212,251,290,0,474,NO,LEAL,2,ADULTOS MAYORES,ALTA,1218,135,135,136
ENSENADA,7,15,24,URBANO(A),114,96,90,69,81,93,0,202,NO,SWITCH,1,ADULTOS MAYORES,MEDIA ALTA,1246,226,226,227
ENSENADA,7,15,25,URBANO(A),112,94,87,72,107,117,0,192,NO,SWITCH,1,ADULTOS MAYORES,ALTA,963,150,150,151
